Nodes,Protocol,Run,Throughput,PDR,Detection_Time,Delay
13,cbrp,4,0.7281,54.28,N/A,0.021401
13,olsr,1,0.4608,41.70,N/A,0.058032
13,aodv,2,0.5573,41.21,N/A,0.027904
13,cr-ed,5,0.6559,60.57,N/A,0.037837
13,cr-ed,2,0.4370,42.21,N/A,0.053746
13,aodv,3,0.5730,42.37,N/A,0.030947
13,cr-ed,1,0.4603,41.66,N/A,0.057579
13,aodv,5,0.7612,56.28,N/A,0.007375
13,cr-ed,3,0.4403,49.55,N/A,0.099458
13,cr-ed,4,0.8225,66.10,N/A,0.052500
13,aodv,4,0.9552,70.62,N/A,0.015893
13,aodv,1,0.6547,48.41,N/A,0.014571
13,pgh,3,0.5053,37.36,16.1000,0.092538
13,olsr,5,0.6589,60.84,N/A,0.037283
13,olsr,2,0.4382,42.32,N/A,0.054617
13,olsr,3,0.4412,49.65,N/A,0.100201
13,pgh,4,0.7007,51.81,15.1000,0.009059
13,olsr,4,0.8332,66.96,N/A,0.052107
14,gpsr,2,0.4270,31.80,N/A,0.053406
14,gpsr,1,0.9083,67.66,N/A,0.033478
13,pgh,1,0.5148,38.07,15.1000,0.070151
14,gpsr,5,0.4649,34.63,N/A,0.027531
14,gpsr,3,0.6831,50.88,N/A,0.010050
14,gpsr,4,0.4365,32.52,N/A,0.045991
14,cbrp,5,0.4883,36.37,N/A,0.048520
14,cbrp,4,0.3851,28.92,N/A,0.090060
14,cbrp,1,0.9046,67.37,N/A,0.047267
14,cr-ed,4,0.5305,58.64,N/A,0.032431
14,cr-ed,2,0.6129,59.80,N/A,0.032486
14,cr-ed,1,0.9525,73.04,N/A,0.043412
14,cr-ed,3,0.6635,70.38,N/A,0.011248
13,pgh,5,0.5507,40.72,17.1000,0.109420
14,cr-ed,5,0.5470,46.41,N/A,0.033363
14,pgh,5,0.6686,49.80,16.1000,0.070747
14,aodv,3,0.7066,52.63,N/A,0.015784
14,pgh,1,0.9413,70.11,15.1000,0.026360
14,aodv,1,0.9336,69.53,N/A,0.039996
14,cbrp,2,0.3981,29.78,N/A,0.040505
